      0.0000000000      0.0000000000      0.0034290507
      0.0630922313      0.0003675690      0.0319875068
      0.1261294243      0.0003674542      0.0039643103
      0.1889670205      0.0007176442      0.0496779883
      0.2518508366      0.0006083274      0.0107174984
      0.3138637247      0.0678817030      0.0294839922
      0.3757900199      0.2233408018      0.0127455959
      0.4377619844      0.3581695073      0.0354583405
      0.5001088443      0.4101267360      0.0403584602
      0.5623104415      0.3581923449      0.0146637688
      0.6244326317      0.2232459140      0.0436660131
      0.6862600089      0.0679569005      0.0284574471
      0.7482298256      0.0006131514      0.0112184453
      0.8101790593      0.0003428550      0.0224048665
      0.8731761491      0.0005336887      0.0165709686
      0.9369406990      0.0003311727      0.0208585780
      1.0000000000      0.0000002336      0.0041114723
