      0.0000000000      0.0000000000      0.0236563440
      0.0627476540      0.0124200416      0.0356050800
      0.1250204656      0.0461091138      0.0305588530
      0.1871522307      0.0920366741      0.0228845594
      0.2494757913      0.1429775426      0.0197802321
      0.3125583966      0.1969036473      0.0274619495
      0.3755324764      0.2586873676      0.0297175257
      0.4377932854      0.3162603011      0.0078398476
      0.5001137160      0.3392721476      0.0494661105
      0.5622982823      0.3134077785      0.0483692151
      0.6242750114      0.2554372853      0.0311570244
      0.6872725436      0.1959791556      0.0309934877
      0.7506251591      0.1430322998      0.0109399278
      0.8130580014      0.0921528305      0.0241362881
      0.8751157875      0.0462144345      0.0267295909
      0.9373315489      0.0124707031      0.0399325083
      1.0000000000     -0.0000027783      0.0215842665
