      0.0000000000      0.0000000000      0.0065196173
      0.0602083209      0.0002086546      0.2535173691
      0.1218628981      0.0001244887      0.1130521286
      0.1844151808      0.0000704567      0.1917204895
      0.2492279939      0.0015752253      0.1509101494
      0.3125702513      0.1306754215      0.1350724637
      0.3743161854      0.3275267394      0.0955900628
      0.4362220737      0.4831888603      0.0777673983
      0.4993230586      0.5432094147      0.0131570155
      0.5623357775      0.4851440909      0.1290620337
      0.6249334511      0.3281659031      0.0530121659
      0.6871932884      0.1296282202      0.0949153946
      0.7503687994      0.0015085019      0.1649475027
      0.8151133456      0.0002542921      0.1450516757
      0.8778318691      0.0000362536      0.1195770492
      0.9390792105      0.0001686537      0.0417832192
      1.0000000000     -0.0000001512      0.0051750466
